ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
30500;"Kohtla-Nõmme postkontor";1;EE;"Ida-Viru maakond";"Kohtla-Nõmme vald";"Kohtla-Nõmme alev";NULL;"Kooli tänav";NULL;6;NULL;27.1929766164113;59.3547685229749;"E,T,N,R 9:00-13:30;K 9:00-17:00;L, P suletud";NULL;NULL;NULL;NULL;;;;;;2015-09-23+03:00
72591;"Koigi postipunkt";1;EE;"Järva maakond";"Koigi vald";"Koigi küla";NULL;"Mõisavahe tee";NULL;1;NULL;25.7528347176179;58.8363594952885;"E,T,K,R 9.00-17.00;N 10.00-18.00;L,P suletud";NULL;NULL;NULL;NULL;;;;;;2015-09-07+03:00
72515;"Koigi postkontor";1;EE;"Järva maakond";"Koigi vald";"Koigi küla";NULL;NULL;NULL;NULL;NULL;25.7502829920675;58.8340384821439;"E-T 8:00-10:30;K 8:00-15:30;N-R 8:00-10:30;L,P suletud";NULL;NULL;"Alates 01.10.2015 alaliselt suletud;postiteenust hakkab osutama Koigi postipunkt";30.09.2015;;;;;;2015-09-02+03:00
74692;"Kolga postkontor";1;EE;"Harju maakond";"Kuusalu vald";"Kolga alevik";NULL;"Saalimäe tee";NULL;2;19;25.6158200997277;59.4910901775335;"T,K,R,L 12:00-14:00;N 16:00-18:00;E,P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-07-30+03:00
70300;"Kolga-Jaani postkontor";1;EE;"Viljandi maakond";"Kolga-Jaani vald";"Kolga-Jaani alevik";NULL;"Viljandi maantee";NULL;6;NULL;25.9430177761876;58.5341451072171;"E,N,R 8:30-12:30 ja 13:00-16:00;T 8:30-12:30 13:00-16:30;K 8:30-12:30 ja 13:00-18:00;L,P suletud";"15.09., 17.09. ja 21.09.15 suletud";21.09.2015;"22.09.-25.09.15 avatud E-R 8:00-12:30 ja 13:00-16:00;L,P suletud;lähim Viljandi pk";25.09.2015;;;;;;2015-09-09+03:00
60301;"Kolkja postkontor";1;EE;"Tartu maakond";"Peipsiääre vald";"Kolkja alevik";NULL;NULL;NULL;NULL;NULL;27.2134687491323;58.5507351346922;"E-R 10:00-14:00;L,P suletud";"21.09.-04.10.15 avatud K ja R 8:30-12:00;Teistel päevadel suletud;lähim Kallaste pk";04.10.2015;"29.10.15 avatud 10:00-12:00;lähim Kallaste pk";29.10.2015;;;;;;2015-09-17+03:00
61218;"Konguta postipunkt";1;EE;"Tartu maakond";"Konguta vald";"Annikoru küla";NULL;"Annikoru tee";NULL;9;NULL;26.3080638613128;58.2672754612272;"E 12:00-18:00;T,N,R 13:00-19:00;L9:00-15:00;K,P suletud";NULL;NULL;"15.09.2015 suletud;lähim Rannu pk";15.09.2015;;;;;;2015-09-07+03:00
88494;"Koonga postipunkt";1;EE;"Pärnu maakond";"Koonga vald";"Koonga küla";NULL;NULL;"Koonga kauplus";NULL;NULL;24.1492317637724;58.5809091196783;"E-R 9.00-18.00;L,P suletud";NULL;NULL;"22.06.-24.06.2015 suletud";24.06.2015;;;;;;2015-06-15+03:00
60402;"Koosa postkontor";1;EE;"Tartu maakond";"Vara vald";"Koosa küla";NULL;NULL;NULL;NULL;NULL;27.076467931626;58.5260088933709;"E-R 9:00-13:00;L,P suletud";NULL;NULL;"16.09.-29.09.15 suletud;lähim Kallaste pk";29.09.2015;;;;;;2015-09-03+03:00
11701;"Kopli postkontor";1;EE;"Harju maakond";Tallinn;"Põhja-Tallinna linnaosa";NULL;"Kopli tänav";NULL;81a;NULL;24.6764494621651;59.457102268279;"E-R 10:00-18:00;L 10:00-14:00;P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-07-30+03:00
